calories,protein,fat,sodium,fiber,sugars,potass,vitamins,weight,cups,mfr A,mfr G,mfr K,mfr N,mfr P,mfr Q,mfr R,cold,hot
120,3,3,75,3.0,4,100,25,1.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
110,2,0,280,0.0,3,25,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
100,4,1,0,0.0,3,95,25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,2,0,220,1.0,3,30,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1,1,280,0.0,9,45,25,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,3,1,230,3.0,3,115,25,1.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
110,1,0,180,0.0,11,35,25,1.0,1.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
110,3,3,140,4.0,7,160,25,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
70,4,1,130,10.0,6,280,25,1.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
100,3,1,200,3.0,3,110,25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,2,0,290,1.0,2,35,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,2,0,125,1.0,14,30,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1,0,90,1.0,12,20,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100,2,1,140,2.0,10,120,25,1.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,3,1,200,3.0,3,110,100,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,3,0,210,5.0,5,190,25,1.0,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
110,1,1,180,0.0,13,55,25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,3,2,160,5.0,10,200,25,1.25,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
140,3,1,170,2.0,9,95,100,1.3,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1,1,180,0.0,13,65,25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,3,0,0,3.0,7,100,25,1.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
120,2,1,190,0.0,9,40,25,1.0,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
110,1,0,200,1.0,11,25,25,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100,4,2,150,2.0,6,95,25,1.0,0.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
110,2,1,260,0.0,3,40,25,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120,3,5,15,2.0,8,135,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
110,1,0,240,0.0,2,30,25,1.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
110,3,2,140,2.0,7,105,25,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,2,1,170,1.0,6,60,100,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
100,2,0,190,1.0,5,80,25,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
120,1,2,220,0.0,12,35,25,1.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
110,1,1,140,0.0,12,25,25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140,3,1,190,4.0,14,230,100,1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,6,0,230,1.0,3,55,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
140,3,2,220,3.0,7,130,25,1.33,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
160,3,2,150,3.0,13,160,25,1.5,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
